file,secondary_growth,phosphorus_um,variable,value
SG_Absent__P_10um.tab,Absent,10,plantNutrientUptake,1271.13734389
SG_Absent__P_10um.tab,Absent,10,rootLength,25465.76146868
SG_Absent__P_10um.tab,Absent,10,rootRespiration,1.41289256
SG_Absent__P_10um.tab,Absent,10,shootDryWeight,10.32666016
SG_Absent__P_13um.tab,Absent,13,plantNutrientUptake,1506.89598504
SG_Absent__P_13um.tab,Absent,13,rootLength,25650.25624143
SG_Absent__P_13um.tab,Absent,13,rootRespiration,1.42056832
SG_Absent__P_13um.tab,Absent,13,shootDryWeight,10.32666013
SG_Absent__P_16um.tab,Absent,16,plantNutrientUptake,1691.97090182
SG_Absent__P_16um.tab,Absent,16,rootLength,25814.63176947
SG_Absent__P_16um.tab,Absent,16,rootRespiration,1.42366327
SG_Absent__P_16um.tab,Absent,16,shootDryWeight,10.3266601
SG_Absent__P_19um.tab,Absent,19,plantNutrientUptake,1819.87873053
SG_Absent__P_19um.tab,Absent,19,rootLength,25603.51173844
SG_Absent__P_19um.tab,Absent,19,rootRespiration,1.41800881
SG_Absent__P_19um.tab,Absent,19,shootDryWeight,10.3266601
SG_Absent__P_1um.tab,Absent,1,plantNutrientUptake,108.92456004
SG_Absent__P_1um.tab,Absent,1,rootLength,11168.71847708
SG_Absent__P_1um.tab,Absent,1,rootRespiration,0.91071633
SG_Absent__P_1um.tab,Absent,1,shootDryWeight,1.0868067
SG_Absent__P_25um.tab,Absent,25,plantNutrientUptake,2028.69843611
SG_Absent__P_25um.tab,Absent,25,rootLength,25720.38429251
SG_Absent__P_25um.tab,Absent,25,rootRespiration,1.42475599
SG_Absent__P_25um.tab,Absent,25,shootDryWeight,10.32666014
SG_Absent__P_30um.tab,Absent,30,plantNutrientUptake,2114.65347616
SG_Absent__P_30um.tab,Absent,30,rootLength,25500.45020752
SG_Absent__P_30um.tab,Absent,30,rootRespiration,1.40973883
SG_Absent__P_30um.tab,Absent,30,shootDryWeight,10.32666014
SG_Absent__P_4um.tab,Absent,4,plantNutrientUptake,621.74171432
SG_Absent__P_4um.tab,Absent,4,rootLength,25503.83241841
SG_Absent__P_4um.tab,Absent,4,rootRespiration,1.41775816
SG_Absent__P_4um.tab,Absent,4,shootDryWeight,5.54014742
SG_Absent__P_7um.tab,Absent,7,plantNutrientUptake,992.68045059
SG_Absent__P_7um.tab,Absent,7,rootLength,25650.08733379
SG_Absent__P_7um.tab,Absent,7,rootRespiration,1.42534244
SG_Absent__P_7um.tab,Absent,7,shootDryWeight,9.06041663
SG_Present__P_10um.tab,Present,10,plantNutrientUptake,1239.97731299
SG_Present__P_10um.tab,Present,10,rootLength,24971.47493917
SG_Present__P_10um.tab,Present,10,rootRespiration,1.87777732
SG_Present__P_10um.tab,Present,10,shootDryWeight,10.26287803
SG_Present__P_13um.tab,Present,13,plantNutrientUptake,1459.51888849
SG_Present__P_13um.tab,Present,13,rootLength,24892.13499735
SG_Present__P_13um.tab,Present,13,rootRespiration,1.87845876
SG_Present__P_13um.tab,Present,13,shootDryWeight,10.32666014
SG_Present__P_16um.tab,Present,16,plantNutrientUptake,1646.59414687
